pca_components,threshold,branching_factor,n_clusters_found,silhouette,ari,nmi
30,0.3,25,10,0.21226896,0.6064945129535398,0.7180841618818313
30,0.3,50,10,0.22156042,0.600348915281013,0.7239611263997586
30,0.3,100,10,0.24516751,0.6254084562873587,0.7516438346105483
30,0.5,25,10,0.18543774,0.48957067991381203,0.6367470527763852
30,0.5,50,10,0.25848845,0.5831580585053906,0.7002363484605022
30,0.5,100,10,0.25848845,0.5831580585053906,0.7002363484605022
30,0.7,25,3,0.17343706,0.1438001701920016,0.38332958041884047
30,0.7,50,3,0.17343706,0.1438001701920016,0.38332958041884047
30,0.7,100,3,0.17343706,0.1438001701920016,0.38332958041884047
50,0.3,25,10,0.23063906,0.6176924649455504,0.7467205646448798
50,0.3,50,10,0.22832547,0.6152190824591851,0.7402137184535191
50,0.3,100,10,0.22857891,0.6049846650590713,0.7356606320985353
50,0.5,25,10,0.19155088,0.5516316510794446,0.6839161564508018
50,0.5,50,10,0.17677891,0.5402187695655731,0.6836446141533554
50,0.5,100,10,0.1977673,0.5846332380361948,0.6931000454168624
50,0.7,25,10,0.19831757,0.549905601970448,0.7073517305174792
50,0.7,50,10,0.19831757,0.549905601970448,0.7073517305174792
50,0.7,100,10,0.19831757,0.549905601970448,0.7073517305174792
75,0.3,25,10,0.20559692,0.6139932889079504,0.7495029817725833
75,0.3,50,10,0.2060677,0.6111630027330959,0.7401144425436303
75,0.3,100,10,0.20605376,0.619577404659355,0.747811391878691
75,0.5,25,10,0.19192436,0.5706238312532397,0.706854549714222
75,0.5,50,10,0.1905833,0.5598924966354994,0.7006358105712759
75,0.5,100,10,0.20198886,0.607558596623238,0.7418899225637284
75,0.7,25,10,0.14037114,0.48100742392222795,0.6237353763612213
75,0.7,50,10,0.14693953,0.5159333384635032,0.6601231836509217
75,0.7,100,10,0.14693953,0.5159333384635032,0.6601231836509217
100,0.3,25,10,0.19363664,0.6104568803382973,0.7423917460333094
100,0.3,50,10,0.19310762,0.6195622785879488,0.7425062321034186
100,0.3,100,10,0.19344932,0.6200770145052513,0.7483350175135309
100,0.5,25,10,0.17759004,0.5574171915728238,0.7101134350297509
100,0.5,50,10,0.17881477,0.5322133270208522,0.708674631456973
100,0.5,100,10,0.17744923,0.5431740956007317,0.7131223390242382
100,0.7,25,10,0.11103968,0.4672922771273715,0.5958668992911017
100,0.7,50,10,0.15099162,0.4909773383940634,0.6197459070855021
100,0.7,100,10,0.13969834,0.4941116584448562,0.6536249513977007
